year,,year,title,artist,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2000,1104,2000,Revolution Is My Name,Pantera,6LhUsJiXAuxoalUz01evh0,0.988,0.341,89.905,0.19699999999999998,6.17e-05,0.12,4,0.243,8,316493,-3.485,0.27699999999999997,1
2000,1153,2000,The Story Of OVO,Peter Gabriel,3NTt8md4NaOWhwrjSnv4Ux,0.573,0.271,71.902,0.308,0.522,0.0,4,0.643,1,321040,-12.679,0.496,0
2000,1376,2000,Back on the Train,Phish,1NVlLhQzlB6c8MAsSKncft,0.9179999999999999,0.0959,161.929,0.0434,0.05,0.00251,4,0.6809999999999999,5,182773,-8.802999999999999,0.9740000000000001,1
2000,1431,2000,Dirty Little Religion,Warren Zevon,5O3SxoZhkO53dvT22cc4Ln,0.736,0.152,111.196,0.0272,0.161,0.0,4,0.669,5,191373,-7.914,0.889,1
2000,1110,2000,These Exiled Years,Flogging Molly,0sxk4MTn1mxv4t41dsjJSI,0.8220000000000001,0.113,148.48,0.0375,0.0288,2.12e-05,3,0.263,7,317880,-6.007000000000001,0.733,1
2000,1293,2000,In A Beautiful Place Out In The Country,Boards of Canada,1ilA1w8ewwREeAEHY2rqKa,0.253,0.0866,98.541,0.0385,0.44,0.873,4,0.636,7,367480,-14.707,0.0427,0
2000,1288,2000,Drop The Hate,Fatboy Slim,0GG7yW6NWLLlBCg04VXsmu,0.904,0.0529,125.02600000000001,0.14800000000000002,0.13,0.000895,4,0.466,3,330360,-8.981,0.552,1
2000,5,2000,Honor and Glory,David Bauer,1okkbWaL4Nign0nmFvz49C,0.0216,0.149,116.02799999999999,0.0387,0.991,0.9490000000000001,4,0.5720000000000001,0,207093,-24.877,0.136,1
2000,1215,2000,Stop Right There,ZOEgirl,2oqG9n3rMPm39QSty76fuM,0.772,0.161,125.01,0.251,0.22399999999999998,0.0,4,0.613,7,211255,-4.861000000000001,0.6509999999999999,0
2000,1201,2000,Where Fugees At?,Wyclef Jean,5owlqzop7WscxjowZs0yJF,0.8759999999999999,0.34700000000000003,174.583,0.285,0.0101,3.63e-06,4,0.649,7,228333,-7.027,0.693,1
2000,1195,2000,I'll Slow You Down,Warren Zevon,4wiaMTZBNEzWiIyZqPogpQ,0.728,0.268,112.223,0.0257,0.0552,0.000103,4,0.6759999999999999,3,193333,-6.149,0.34,0
2000,1430,2000,Have I Said Too Much?,Slick Shoes,2I8bVSEdARwAkFg54rysQw,0.943,0.0553,117.09299999999999,0.0326,0.00039,0.000442,4,0.465,7,181507,-6.098,0.7490000000000001,1
2000,1374,2000,I'm Gonna Love That Gal (Like She's Never Been Loved Before),Perry Como,7BvpOUYs9X9J6k8sH0OdyF,0.292,0.177,128.471,0.0338,0.9470000000000001,1.66e-06,3,0.6990000000000001,3,163067,-10.084,0.752,1
2000,1223,2000,Last tango in Paris,Hôtel Costes,4sZ8a9YiRqlUt9gLuy0dO8,0.721,0.111,96.443,0.0348,0.0133,0.679,4,0.785,10,273693,-6.579,0.8320000000000001,0
