spotify_id,year,title,artist,peak_pos,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0709StHzSeXpdj2zmqF2o2,2018,Tempo,Chris Brown,88,0.482,0.0903,120.959,0.0502,0.192,0,4,0.769,10,218744,-7.205,0.487,1
075DlN1s3ii0KiN9MIXDjW,2002,God Bless America,daniel rodriguez,99,0.591,0.497,85.364,0.0381,0.93,0.0379,4,0.16,8,168147,-3.838,0.306,1
07A3gDZJo7rKavXtgEXZY9,2010,This Ain't No Love Song,trace adkins,88,0.886,0.125,159.96,0.0597,0.0771,0.000219,4,0.505,4,200680,-4.886,0.591,1
07aAviYHmmianooIQN2JWq,2011,My Man,glee cast,94,0.358,0.141,75.892,0.0352,0.732,0,4,0.283,10,135907,-8.837,0.317,0
07dtD7iciEL7vHqATMXg3V,2009,What About Now,daughtry,18,0.834,0.164,161.972,0.0436,0.0629,0,4,0.363,9,250311,-2.826,0.275,0
07DXC9tg5mySIQfRoVHYmI,2010,Me Against The Music,glee cast,56,0.909,0.193,120.011,0.0686,0.0878,0,4,0.829,11,225440,-5.836,0.791,0
07G7QChlEGW0d4goT0AvXU,2012,Sweet Love,chris brown,89,0.759,0.235,139.901,0.048,0.00593,0,4,0.631,4,200000,-4.622,0.698,1
07GilNHSfS5oicUgHgU7VG,2016,Hype,drake,33,0.62,0.365,129.959,0.195,0.0226,0,4,0.79,7,209413,-8.278,0.236,1
07HPV6hzecJmMJwsIX8YVU,2009,He Could Be The One,hannah montana,10,0.883,0.418,125.952,0.0317,0.00178,0,4,0.601,4,180800,-3.914,0.612,1
07NI6CCv57IbIqzy10ddd7,2012,Nobody's Perfect,j. cole,61,0.498,0.13,119.988,0.17,0.0974,1.26E-05,4,0.793,8,190653,-11.208,0.427,0
07rhyW77lp2bGv8EQoZy6k,2010,We Are The World 25: For Haiti,artists for haiti,2,0.717,0.0786,66.21,0.0882,0.311,0,4,0.348,4,416778,-5.634,0.28,1
07Tx168RSsUS1HqkDIOZbH,2007,Cupid Shuffle,cupid,66,0.582,0.2,71.774,0.237,0.191,0,4,0.785,5,231360,-4.877,0.861,0
