spotify_id,year,title,artist,peak_pos,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
01pgHbtziFmLnaIdTbz3FK,2005,Bella Luna,Jason Mraz,0,0,0.454,0.236,120.06,0.0352,0.757,0,4,0.755,9,302347,-9.609,0.331,0
01PhWaW0Fbqoq0PmD5LnbM,2009,Something Is Squeezing My Skull,Morrissey,0,0,0.91,0.388,158.328,0.0563,0.0058,0,4,0.42,0,158347,-4.519,0.655,1
01TnVDiet1DFTsyWKUKovl,2018,Numb,XXXTENTACION,82,1,0.416,0.131,159.91,0.0251,0.1,0.179,4,0.414,11,186268,-8.024,0.196,0
01Uh3JSaRCGgZElpBH7IhK,2007,Morning Rage,UNKLE,0,0,0.854,0.188,139,0.0315,0.00319,0.893,4,0.587,6,317200,-5.76,0.462,0
01vU43Qzl66E9gclA7huJ0,2012,Give Me You,Shana Wilson,0,0,0.443,0.375,122.427,0.0365,0.0119,0,4,0.333,4,301013,-7.327,0.172,1
01WeILJQrvZXeWhxJ4OYOd,2013,Anchin Alay Alegn,Hailu Mergia,0,0,0.465,0.0989,98.788,0.0319,3.64E-05,1.65E-06,4,0.221,0,386560,-8.878,0.501,1
01WZpX9Ss7ZexSFX6ntYeO,2001,Cry a While,Bob Dylan,0,0,0.796,0.129,82.357,0.0371,0.129,0,4,0.531,0,305440,-6.677,0.6,1
01xhMrdCefADl7HSttJaf7,2016,Infinite,eminem,97,1,0.862,0.217,82.019,0.191,0.293,0,4,0.637,10,251707,-4.343,0.573,0
01ybS1aH9xzwQf68kYHOtC,2007,Johnny Cash,jason aldean,68,1,0.87,0.125,112.089,0.048,0.00777,4.1E-06,4,0.629,8,190560,-4.139,0.694,1
01ZHSlq8gRZ8X7xIEACzTf,2010,From Safety to Where - 2010 Remaster,Joy Division,0,0,0.615,0.0646,154.321,0.0451,0.658,0.508,4,0.491,9,149703,-10.103,0.674,1
020b0QxseQbcMTPKV49qRm,2013,Crying On A Suitcase,casey james,88,1,0.7,0.0992,198.972,0.0348,0.147,0,4,0.402,4,221387,-4.613,0.496,1
020ffiIfWvx5EH9VJ8Dkg2,2012,No Hurry,zac brown band,50,1,0.531,0.312,146.018,0.0287,0.376,0,4,0.564,3,226227,-5.809,0.407,1
022dGyIod1iGHNFcw2axwS,2011,Long Walk in Winter Coat,Sidewalk Labs,0,0,0.364,0.0636,90.042,0.0336,0.0162,0.628,4,0.411,5,223739,-9.842,0.666,0
0247StOpd3AkeBQzANX4Zf,2004,Do They Know It's Christmas? - 1984 Version,Band Aid 20,0,0,0.642,0.0992,115.412,0.0363,0.164,3.33E-05,4,0.599,0,222533,-6.936,0.349,1
025kiBEqJugcMQnW4e2qYV,2000,"One, Two, Button Your Shoe",Various Artists,0,0,0.291,0.0816,92.922,0.0475,0.964,0.493,4,0.867,0,155720,-12.344,0.855,0
026yenUGRg687r3Muqkyhf,2016,Used To Love You,gwen stefani,52,1,0.652,0.449,96.086,0.0643,0.0159,1.3E-06,4,0.619,8,227507,-5.358,0.223,1
