Track,Artist,Position,Last,Peak,Weeks,Year,Month,Week
I Just Wanna Love U (Give It 2 Me),JAY-Z,58,-,58,1,2000,10,28
Sleepwalker,The Wallflowers,73,-,73,1,2000,10,28
Hemorrhage (In My Hands),Fuel,77,-,77,1,2000,10,28
Straight Up,Chante Moore,98,-,98,1,2000,10,28
Toca's Miracle,Fragma,99,-,99,1,2000,10,28
It Wasn't Me,Shaggy Featuring Ricardo &quot;RikRok&quot; Ducent,57,-,57,1,2000,11,4
Crazy For This Girl,Evan And Jaron,58,-,58,1,2000,11,4
Pop Ya Collar,Usher,68,-,68,1,2000,11,4
My First Love,Avant Featuring KeKe Wyatt,70,-,70,1,2000,11,4
www.memory,Alan Jackson,75,-,75,1,2000,11,4
Stan,Eminem Featuring Dido,78,-,78,1,2000,11,4
No More (Baby I'ma Do Right),3LW,96,-,96,1,2000,11,4
Ms. Jackson,OutKast,55,-,55,1,2000,11,11
Rollin',Limp Bizkit,77,-,77,1,2000,11,11
Do You,Funkmaster Flex Featuring DMX,92,-,92,1,2000,11,11
Oklahoma,Billy Gilman,94,-,94,1,2000,11,11
Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,96,-,96,1,2000,11,11
Again,Lenny Kravitz,72,-,72,1,2000,11,18
Tell Her,Lonestar,75,-,75,1,2000,11,18
Meanwhile Back At The Ranch,The Clark Family Experience,87,-,87,1,2000,11,18
Souljas,Master P,98,-,98,1,2000,11,18
Original Prankster,The Offspring,74,-,74,1,2000,11,25
Emotional,Carl Thomas,77,-,77,1,2000,11,25
How Many Licks?,Lil' Kim Featuring Sisqo,79,-,79,1,2000,11,25
So In Love With Two,Mikaila,96,-,96,1,2000,11,25
Bow Wow (That's My Name),Lil Bow Wow,97,-,97,1,2000,11,25
If I Am,Nine Days,68,-,68,1,2000,12,2
Stronger,Britney Spears,70,-,70,1,2000,12,2
Babylon,David Gray,73,-,73,1,2000,12,2
Burn,Jo Dee Messina,77,-,77,1,2000,12,2
The Itch,Vitamin C,86,-,86,1,2000,12,2
South Side,Moby Featuring Gwen Stefani,94,-,94,1,2000,12,2
Spanish Guitar,Toni Braxton,98,-,98,1,2000,12,2
Love Don't Cost A Thing,Jennifer Lopez,46,-,46,1,2000,12,9
My Everything,98 Degrees,62,-,62,1,2000,12,9
Crazy,K-Ci & JoJo,69,-,69,1,2000,12,9
Ashes By Now,Lee Ann Womack,74,-,74,1,2000,12,9
Don't Tell Me,Madonna,78,-,78,1,2000,12,9
It's Over Now,112,82,-,82,1,2000,12,9
One Woman Man,Dave Hollister,86,-,86,1,2000,12,9
Project Chick,Cash Money Millionaires,74,-,74,1,2000,12,16
A Little Gasoline,Terri Clark,75,-,75,1,2000,12,16
Danger (Been So Long),Mystikal Featuring Nivea,77,-,77,1,2000,12,16
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,96,-,96,1,2000,12,16
