year,title,artist,peak_pos,last_pos,weeks,rank,change,spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2006,I Can't Unlove You,kenny rogers,93,93,5,95,-2,0Ok6ydBFCNWJi7KtP6cryr,0.468,0.166,139.831,0.0266,0.0929,1.84E-06,4,0.544,10,204653,-5.825,0.426,1
2004,I Can't Wait,sleepy brown,40,85,13,98,-13,23XFjkEHUpVh3fmcNJFkaR,0.632,0.327,102.967,0.282,0.239,0,4,0.845,10,272547,-7.683,0.549,0
2003,I Care 4 U,aaliyah,16,54,20,59,-5,1yGPZTTfwI0UAfFocnP7jw,0.451,0.112,138.916,0.0457,0.792,0.000169,3,0.487,0,277316,-7.702,0.268,0
2005,I Changed My Mind,keyshia cole,71,93,11,91,2,4w4RaMGPl2qnjSdPlp1KAE,0.72,0.388,93.243,0.151,0.284,0,4,0.467,1,198680,-4.044,0.602,0
2014,I Choose You,sara bareilles,81,85,5,96,-11,7jJH8F3PHlNvxfqEAAfFDl,0.572,0.133,154.038,0.0445,0.105,0.00012,4,0.731,6,218573,-7.889,0.947,0
2001,I Could Not Ask For More,sara evans,35,83,20,82,1,3TcoHf7nvC8RaDVdfIFjFR,0.509,0.0808,138.022,0.0279,0.0234,0.00017,4,0.584,8,287733,-10.338,0.387,1
2017,I Could Use A Love Song,Maren Morris,56,62,21,56,6,09iyGiljLWRYXdRazFkdtJ,0.634,0.0866,92.097,0.0468,0.214,0,4,0.638,6,196422,-6.474,0.473,1
2013,I Cry,flo rida,6,28,21,48,-20,3zrYNl1aMdFrQkcOjKVr5u,0.822,0.315,126.035,0.0439,0.00616,1.79E-06,4,0.693,4,223800,-5.441,0.763,0
2001,I Cry,ja rule,40,93,14,86,7,1CP0DS790dxOfCXXp7WHDP,0.538,0.212,72.226,0.219,0.288,0,4,0.651,0,317733,-6.006,0.317,1
2006,I Dare You,shinedown,88,88,2,98,-10,2b86QdcYHnO4YRXqfqlmGH,0.921,0.0999,107.013,0.0312,5.51E-05,0.000214,4,0.55,3,234053,-4.606,0.354,0
2001,I Did It,dave matthews band,71,92,11,98,-6,4u1WFYkW7pFmFvyUqUKP16,0.86,0.246,108.051,0.0366,0.00582,0,4,0.578,2,216293,-6.011,0.512,1
2000,I Disappear,metallica,76,89,20,95,-6,51Vic2Yi71YKNtLbyJKgQt,0.929,0.036,122.733,0.047,0.000206,5.58E-05,4,0.534,1,266240,-3.609,0.447,1
2011,I Do,colbie caillat,23,97,9,95,2,0xSJx8f3bARd18J3CnwEGO,0.876,0.0599,144.887,0.0326,0.237,0,4,0.66,9,174173,-5.596,0.927,1
2012,I Do,young jeezy,61,98,15,96,2,7kbgzSYR7X9FkzIeUFkviQ,0.826,0.0962,73.252,0.353,0.129,0,4,0.562,11,311640,-7.598,0.604,1
2002,I Do (Wanna Get Close To You),3lw,58,79,14,92,-13,0fCPWDsSyIhcp7CjRdx958,0.491,0.0438,97.294,0.183,0.139,0,4,0.835,11,254533,-5.683,0.841,1
2013,I Do It,2 chainz,94,0,1,94,New,1DRRWz7CF55lysOeyCFEdh,0.72,0.193,145.331,0.188,0.189,0,4,0.606,11,373693,-4.461,0.61,0
2009,I Do Not Hook Up,kelly clarkson,20,82,18,94,-12,2I5CPUnMIKjEXeg61OI9uV,0.938,0.318,144.077,0.13,0.00098,0,4,0.502,9,200347,-3.114,0.35,1
2002,I Do!!,toya,16,40,39,47,-7,610sx23crS0FOQISsn2e49,0.694,0.0764,156.087,0.055,0.0712,0.00223,4,0.782,6,210533,-5.196,0.927,0
2017,I Don't,mariah carey,89,0,1,89,New,1hFtJ5rV3aAm58ErijHdFO,0.504,0.288,130.786,0.031,0.197,9.01E-05,4,0.641,7,288827,-12.486,0.276,1
2009,I Don't Care,apocalyptica,78,90,16,95,-5,0t9Jd84JnsV8HRMaQzHUom,0.744,0.0799,179.076,0.0436,0.00998,0,4,0.311,2,221480,-4.615,0.336,0
2009,I Don't Care,fall out boy,21,56,20,66,-10,7ewT0nLFkMD8ONbRibePr9,0.936,0.656,133.973,0.0676,0.00166,1.51E-05,4,0.521,6,214493,-3.532,0.505,0
2005,I Don't Care,ricky martin,65,65,5,99,-34,3vTqPhv0H8A00sOOJCdjfS,0.733,0.137,103.822,0.174,0.0173,0,4,0.853,1,228400,-6.876,0.574,1
