Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
Lessons Learned,Tracy Lawrence,80.0,80.0,-,1.0,2000.0,1.0,29.0
Put Your Hand In Mine,Tracy Byrd,81.0,81.0,-,1.0,2000.0,1.0,29.0
Because You Love Me,Jo Dee Messina,83.0,83.0,-,1.0,2000.0,1.0,29.0
I Don't Wanna,Aaliyah,84.0,84.0,-,1.0,2000.0,1.0,29.0
I Like It,Sammie,85.0,85.0,-,1.0,2000.0,1.0,29.0
Love's The Only House,Martina McBride,79.0,79.0,-,1.0,2000.0,2.0,5.0
This Woman Needs,SHeDAISY,82.0,82.0,-,1.0,2000.0,2.0,5.0
U Understand,Juvenile,85.0,85.0,-,1.0,2000.0,2.0,5.0
Candy,Mandy Moore,93.0,41.0,-,15.0,2000.0,2.0,5.0
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,99.0,93.0,-,5.0,2000.0,2.0,5.0
Maria Maria,Santana Featuring The Product G&B,15.0,15.0,-,1.0,2000.0,2.0,12.0
Dear Lie,TLC,63.0,63.0,-,1.0,2000.0,2.0,12.0
Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,65.0,65.0,-,1.0,2000.0,2.0,12.0
Otherside,Red Hot Chili Peppers,80.0,80.0,-,1.0,2000.0,2.0,12.0
No Leaf Clover,Metallica,86.0,86.0,-,1.0,2000.0,2.0,12.0
Freakin' It,Will Smith,99.0,99.0,-,1.0,2000.0,2.0,12.0
"Left, Right, Left",Drama,100.0,100.0,-,1.0,2000.0,2.0,12.0
American Pie,Madonna,43.0,43.0,-,1.0,2000.0,2.0,19.0
Only God Knows Why,Kid Rock,63.0,63.0,-,1.0,2000.0,2.0,19.0
I Try,Macy Gray,68.0,68.0,-,1.0,2000.0,2.0,19.0
Another Dumb Blonde,Hoku,69.0,69.0,-,1.0,2000.0,2.0,19.0
I Need A Hot Girl,Hot Boys,77.0,77.0,-,1.0,2000.0,2.0,19.0
Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,79.0,79.0,-,1.0,2000.0,2.0,19.0
I Learned From The Best,Whitney Houston,83.0,83.0,-,1.0,2000.0,2.0,19.0
Do What You Gotta Do,Garth Brooks,86.0,86.0,-,1.0,2000.0,2.0,19.0
Been There,Clint Black With Steve Wariner,87.0,87.0,-,1.0,2000.0,2.0,19.0
Anything,JAY-Z,72.0,72.0,-,1.0,2000.0,2.0,26.0
You Sang To Me,Marc Anthony,77.0,77.0,-,1.0,2000.0,2.0,26.0
Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,87.0,87.0,-,1.0,2000.0,2.0,26.0
Party Up (Up In Here),DMX,88.0,88.0,-,1.0,2000.0,2.0,26.0
That's What I'm Looking For,Da Brat,93.0,93.0,-,1.0,2000.0,2.0,26.0
Stay Or Let It Go,Brian McKnight,95.0,95.0,-,1.0,2000.0,2.0,26.0
There You Go,P!nk,25.0,25.0,-,1.0,2000.0,3.0,4.0
Carlene,Phil Vassar,75.0,75.0,-,1.0,2000.0,3.0,4.0
Whoa!,Black Rob,78.0,78.0,-,1.0,2000.0,3.0,4.0
U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,81.0,81.0,-,1.0,2000.0,3.0,4.0
It Was,Chely Wright,86.0,86.0,-,1.0,2000.0,3.0,4.0
Daddy Won't Sell The Farm,Montgomery Gentry,87.0,87.0,-,1.0,2000.0,3.0,4.0
Still In My Heart,Tracie Spencer,95.0,95.0,-,1.0,2000.0,3.0,4.0
Get Up,Amel Larrieux,100.0,100.0,-,1.0,2000.0,3.0,4.0
Private Emotion,Ricky Martin Featuring Meja,76.0,76.0,-,1.0,2000.0,3.0,11.0
Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,79.0,79.0,-,1.0,2000.0,3.0,11.0
The Way You Love Me,Faith Hill,80.0,80.0,-,1.0,2000.0,3.0,11.0
She's More,Andy Griggs,81.0,81.0,-,1.0,2000.0,3.0,11.0
Goodbye Earl,Dixie Chicks,40.0,40.0,-,1.0,2000.0,3.0,18.0
Try Again,Aaliyah,59.0,59.0,-,1.0,2000.0,3.0,18.0
He Wasn't Man Enough,Toni Braxton,63.0,63.0,-,1.0,2000.0,3.0,18.0
The Bad Touch,Bloodhound Gang,70.0,70.0,-,1.0,2000.0,3.0,18.0
Mr. Too Damn Good,Gerald Levert,84.0,84.0,-,1.0,2000.0,3.0,18.0
"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,86.0,86.0,-,1.0,2000.0,3.0,18.0
Couldn't Last A Moment,Collin Raye,91.0,91.0,-,1.0,2000.0,3.0,18.0
Whistle While You Twurk,Ying Yang Twins,95.0,95.0,-,1.0,2000.0,3.0,18.0
No Mercy,Ty Herndon,100.0,100.0,-,1.0,2000.0,3.0,18.0
